Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.37,-43.2,-0.072
-1.37,-46.7,-0.072
-1.56,-47.6,-0.082
-1.56,-51.1,-0.082
-1.76,-52,-0.092
-1.76,-54.6,-0.092
-1.95,-55.5,-0.103
-1.95,-58.1,-0.103
-2.15,-59,-0.113
-2.15,-61.6,-0.113
-2.34,-62.4,-0.123
-2.34,-65.1,-0.123
-2.54,-66,-0.134
-2.54,-67.7,-0.134
-2.73,-68.6,-0.144
-2.73,-70.3,-0.144
-2.93,-71.2,-0.154
-2.93,-72.9,-0.154
-2.93,-72,-0.154
-3.12,-71.2,-0.164
-2.93,-69.4,-0.154
-2.93,-60.7,-0.154
-2.73,-59.8,-0.144
-2.73,-54.6,-0.144
-2.54,-53.7,-0.134
-2.54,-46.7,-0.134
-2.34,-45.9,-0.123
-2.34,-40.6,-0.123
-2.15,-39.8,-0.113
-2.15,-35.4,-0.113
-1.95,-34.5,-0.103
-1.95,-30.1,-0.103
-1.76,-29.3,-0.092
-1.76,-24.9,-0.092
-1.56,-24,-0.082
-1.56,-19.6,-0.082
-1.37,-18.8,-0.072
-1.37,-14.4,-0.072
-1.17,-13.5,-0.062
-1.17,-9.2,-0.062
-0.98,-8.3,-0.051
-0.95,-3.9,-0.05
-0.8,-3,-0.042
-0.76,-0.6,-0.04
-0.76,0.2,-0.04
-0.59,1.3,-0.031
-0.59,5.7,-0.031
-0.39,6.5,-0.021
-0.39,10.9,-0.021
-0.2,11.8,-0.01
-0.2,15.3,-0.01
-0,16.1,-0
-0,19.7,-0
0.19,20.5,0.01
0.19,19.7,0.01
0.19,24,0.01
0.39,24.9,0.02
0.39,29.3,0.02
0.58,30.1,0.031
0.58,33.6,0.031
0.78,34.5,0.041
