Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-6.41,-39.8,-0.427
-6.55,-40.4,-0.437
-6.69,-40.4,-0.446
-6.83,-41.1,-0.455
-6.97,-41.7,-0.465
-7.11,-42.3,-0.474
-7.25,-42.9,-0.484
-7.39,-43.6,-0.493
-7.53,-44.2,-0.502
-7.68,-44.2,-0.512
-7.82,-44.8,-0.521
-7.96,-45.5,-0.531
-8.1,-46.1,-0.54
-8.24,-46.1,-0.549
-8.38,-46.7,-0.559
-8.52,-47.3,-0.568
-8.66,-47.3,-0.578
-8.8,-48,-0.587
-8.94,-48,-0.596
-9.08,-48.6,-0.606
-9.23,-49.2,-0.615
-9.37,-49.8,-0.624
-9.51,-49.8,-0.634
-9.65,-50.5,-0.643
-9.79,-50.5,-0.653
-9.93,-51.1,-0.662
-10.07,-51.1,-0.671
-10.21,-51.7,-0.681
-10.35,-51.7,-0.69
-10.49,-52.4,-0.7
-10.64,-53,-0.709
-10.78,-53.6,-0.718
-10.92,-54.2,-0.728
-11.06,-54.9,-0.737
-11.2,-55.5,-0.747
-11.34,-56.1,-0.756
-11.48,-56.7,-0.765
-11.62,-57.4,-0.775
-11.76,-58,-0.784
-11.9,-58,-0.794
-12.19,-59.3,-0.812
-12.19,-59.9,-0.812
-12.33,-60.5,-0.822
-12.47,-61.1,-0.831
-12.61,-61.8,-0.84
-12.75,-62.4,-0.85
-12.89,-63,-0.859
-13.03,-63.6,-0.869
-13.31,-64.9,-0.887
-13.31,-65.5,-0.887
-13.59,-66.8,-0.906
-13.59,-67.4,-0.906
-13.74,-68,-0.916
-13.88,-68.7,-0.925
-14.16,-69.9,-0.944
-14.16,-70.5,-0.944
-14.3,-71.2,-0.953
-14.44,-71.8,-0.962
-14.58,-72.4,-0.972
-14.72,-73,-0.981
-14.86,-73.7,-0.991
-15,-74.3,-1
-15.14,-74.9,-1.009
-15.28,-74.9,-1.019
-15.42,-75.5,-1.028
-15.57,-76.2,-1.038
-15.71,-76.8,-1.047
-15.85,-77.4,-1.056
-15.99,-77.4,-1.066
-16.13,-78.1,-1.075
-16.27,-78.7,-1.085
-16.41,-79.3,-1.094
-16.55,-79.9,-1.103
-16.69,-80.6,-1.113
-16.83,-80.6,-1.122
-17.11,-81.8,-1.141
-17.11,-82.4,-1.141
-17.25,-83.1,-1.15
-17.39,-82.4,-1.16
-17.39,-77.4,-1.16
-17.25,-75.5,-1.15
-17.25,-74.3,-1.15
-17.11,-73,-1.141
-17.11,-71.2,-1.141
-16.97,-70.5,-1.131
-16.97,-69.3,-1.131
-16.83,-68.7,-1.122
-16.83,-67.4,-1.122
-16.69,-66.8,-1.113
-16.41,-65.5,-1.094
-16.41,-64.3,-1.094
-16.27,-63.6,-1.085
-16.13,-63,-1.075
-15.99,-62.4,-1.066
-15.71,-61.1,-1.047
-15.71,-60.5,-1.047
-15.57,-59.9,-1.038
-15.42,-59.3,-1.028
-15.28,-58.6,-1.019
-15.14,-58,-1.009
-15,-57.4,-1
-14.72,-56.1,-0.981
-14.72,-55.5,-0.981
-14.58,-54.9,-0.972
-14.44,-54.2,-0.962
-14.3,-53.6,-0.953
-14.16,-53,-0.944
-14.02,-52.4,-0.934
-13.74,-51.1,-0.916
-13.74,-50.5,-0.916
-13.59,-49.8,-0.906
-13.45,-49.2,-0.897
-13.31,-48.6,-0.887
-13.17,-48,-0.878
-13.03,-47.3,-0.869
-12.89,-46.7,-0.859
-12.75,-46.1,-0.85
-12.61,-45.5,-0.84
-12.47,-44.8,-0.831
-12.33,-44.2,-0.822
-12.19,-43.6,-0.812
-12.04,-42.9,-0.803
-11.9,-42.3,-0.794
-11.76,-41.7,-0.784
-11.62,-41.1,-0.775
-11.48,-40.4,-0.765
-11.34,-39.8,-0.756
-11.2,-39.2,-0.747
-11.06,-38.6,-0.737
-10.92,-37.9,-0.728
-10.78,-37.3,-0.718
-10.64,-36.7,-0.709
-10.49,-36,-0.7
-10.35,-35.4,-0.69
-10.21,-34.8,-0.681
-10.07,-34.2,-0.671
-9.93,-33.5,-0.662
-9.79,-32.9,-0.653
-9.65,-32.9,-0.643
-9.51,-32.3,-0.634
-9.37,-31.7,-0.624
-9.23,-31.7,-0.615
-9.08,-31,-0.606
-8.94,-30.4,-0.596
-8.8,-29.8,-0.587
-8.66,-29.2,-0.578
-8.52,-28.5,-0.568
-8.38,-27.9,-0.559
-8.24,-27.9,-0.549
-8.1,-27.3,-0.54
-7.96,-26.7,-0.531
-7.82,-26,-0.521
-7.68,-25.4,-0.512
-7.53,-24.8,-0.502
-7.39,-24.8,-0.493
-7.25,-24.1,-0.484
-7.11,-23.5,-0.474
-6.97,-22.9,-0.465
-6.83,-22.3,-0.455
-6.69,-21.6,-0.446
-6.55,-21,-0.437
-6.41,-20.4,-0.427
-6.27,-19.8,-0.418
-6.13,-19.8,-0.409
-5.99,-19.1,-0.399
-5.85,-18.5,-0.39
-5.7,-17.9,-0.38
-5.42,-16.6,-0.361
-5.56,-16.6,-0.371
-5.42,-16.6,-0.361
-5.28,-16,-0.352
-5,-14.7,-0.333
-5,-14.1,-0.333
-4.86,-13.5,-0.324
-4.72,-12.9,-0.315
-4.58,-12.2,-0.305
-4.3,-11,-0.286
-4.3,-10.3,-0.286
-4.16,-9.7,-0.277
-3.88,-8.5,-0.258
-3.88,-7.8,-0.258
-3.73,-7.2,-0.249
-3.59,-6.6,-0.239
-3.45,-6,-0.23
-3.17,-4.7,-0.211
-3.17,-4.1,-0.211
-3.03,-3.4,-0.202
-2.89,-2.8,-0.192
-2.75,-2.2,-0.183
-2.61,-1.6,-0.174
-2.47,-0.9,-0.164
-2.33,-0.3,-0.155
-2.19,-0.3,-0.146
NaN,NaN,NaN
-2.19,0.3,-0.146
-2.04,0.9,-0.136
-1.9,1.6,-0.127
-1.76,2.2,-0.117
-1.62,2.8,-0.108
-1.48,3.4,-0.099
-1.34,4.1,-0.089
-1.2,4.7,-0.08
-1.06,5.3,-0.07
-0.92,6,-0.061
-0.78,6.6,-0.052
-0.64,7.2,-0.042
-0.49,7.8,-0.033
-0.35,8.5,-0.024
-0.21,9.1,-0.014
-0.07,9.7,-0.005
0.07,10.3,0.005
0.21,11,0.014
0.35,11.6,0.023
0.49,12.2,0.033
0.63,12.8,0.042
0.77,13.5,0.052
0.92,14.1,0.061
1.06,14.7,0.07
1.2,15.4,0.08
1.34,15.4,0.089
1.48,16,0.099
1.62,16.6,0.108
1.76,17.2,0.117
1.9,17.9,0.127
2.04,18.5,0.136
2.18,19.1,0.146
2.32,19.7,0.155
2.47,19.7,0.164
2.61,20.4,0.174
2.75,21,0.183
2.89,21.6,0.192
3.03,22.3,0.202
3.17,22.3,0.211
3.31,22.9,0.221
3.45,23.5,0.23
3.59,24.1,0.239
3.73,24.1,0.249
3.87,24.8,0.258
4.02,25.4,0.268
4.16,26,0.277
4.3,26.6,0.286
4.44,27.3,0.296
4.58,27.3,0.305
4.72,27.9,0.315
4.86,28.5,0.324
5,29.2,0.333
5.14,29.2,0.343
5.28,29.8,0.352
5.42,30.4,0.361
5.56,31,0.371
5.7,31,0.38
5.84,31.7,0.39
5.99,32.3,0.399
6.13,32.3,0.409
6.27,32.9,0.418
6.41,33.5,0.427
6.55,33.5,0.437
6.69,34.2,0.446
6.83,34.8,0.455
6.97,34.8,0.465
7.11,35.4,0.474
7.25,35.4,0.484
7.39,36,0.493
7.53,36.7,0.502
7.67,36.7,0.512
7.81,37.3,0.521
7.96,37.3,0.531
8.1,37.9,0.54
8.24,38.5,0.549
8.38,38.5,0.559
8.52,39.2,0.568
8.66,39.2,0.578
8.8,39.8,0.587
8.94,39.8,0.596
9.08,40.4,0.606
9.22,40.4,0.615
9.36,40.4,0.624
9.51,41.1,0.634
9.65,41.1,0.643
9.79,41.7,0.652
9.93,41.7,0.662
10.07,42.3,0.671
10.21,42.3,0.681
10.35,42.9,0.69
10.49,43.6,0.7
10.63,44.2,0.709
10.77,44.8,0.718
10.92,45.4,0.728
11.06,45.4,0.737
11.2,46.1,0.746
11.34,46.7,0.756
11.48,47.3,0.765
11.62,48,0.775
11.76,48.6,0.784
11.9,49.2,0.794
12.04,49.8,0.803
12.18,50.5,0.812
12.32,51.1,0.822
12.47,51.7,0.831
12.61,52.3,0.84
12.75,53,0.85
13.03,54.2,0.869
12.89,54.2,0.859
13.03,54.2,0.869
13.17,54.9,0.878
13.45,56.1,0.897
13.45,56.7,0.897
13.59,56.7,0.906
13.87,58,0.925
13.87,58.6,0.925
14.02,59.2,0.934
14.16,59.9,0.944
14.3,60.5,0.953
14.44,61.1,0.962
14.58,61.8,0.972
14.72,62.4,0.981
14.86,63,0.991
15,63.6,1
15.14,64.3,1.009
15.28,64.9,1.019
15.42,65.5,1.028
15.56,66.1,1.038
15.71,66.8,1.047
15.85,67.4,1.056
15.99,68,1.066
16.13,68.7,1.075
16.27,69.3,1.085
16.55,70.5,1.103
16.55,71.2,1.103
16.69,71.8,1.113
16.83,72.4,1.122
16.97,73,1.131
17.25,74.3,1.15
17.25,74.9,1.15
17.39,75.5,1.16
17.53,76.2,1.169
17.53,73.7,1.169
17.39,72.4,1.16
17.39,68,1.16
17.25,68,1.15
17.39,68.7,1.16
17.25,69.3,1.15
17.39,68.7,1.16
17.25,68,1.15
17.25,64.9,1.15
17.11,64.3,1.141
17.11,62.4,1.141
16.97,61.8,1.131
16.97,60.5,1.131
16.83,59.9,1.122
16.83,58.6,1.122
16.69,58,1.113
16.69,56.7,1.113
16.55,56.1,1.103
16.55,55.5,1.103
16.41,54.9,1.094
16.41,53.6,1.094
16.27,53,1.085
16.27,52.3,1.085
15.99,51.1,1.066
15.99,50.5,1.066
15.71,49.2,1.047
15.71,48.6,1.047
15.56,48,1.038
15.28,46.7,1.019
15.28,46.1,1.019
15.14,45.4,1.009
14.86,44.2,0.991
14.86,43.6,0.991
14.72,42.9,0.981
14.58,42.3,0.972
14.44,41.7,0.962
14.3,41.1,0.953
14.02,39.8,0.934
14.02,39.2,0.934
13.87,38.5,0.925
13.73,37.9,0.916
13.59,37.3,0.906
13.45,36.7,0.897
13.31,36,0.887
13.17,35.4,0.878
13.03,34.8,0.869
12.89,34.2,0.859
12.75,34.2,0.85
12.61,33.5,0.84
12.47,32.9,0.831
12.32,32.3,0.822
12.18,31.7,0.812
12.04,31,0.803
11.9,30.4,0.794
11.76,29.8,0.784
11.62,29.2,0.775
11.48,28.5,0.765
11.34,27.9,0.756
11.2,27.9,0.746
11.06,27.3,0.737
10.92,26.6,0.728
10.77,26.6,0.718
10.63,26,0.709
10.49,25.4,0.7
10.35,24.8,0.69
10.21,24.8,0.681
10.07,24.1,0.671
9.93,24.1,0.662
9.79,23.5,0.652
9.65,22.9,0.643
9.51,22.9,0.634
9.36,22.3,0.624
9.22,21.6,0.615
9.08,21.6,0.606
8.94,21,0.596
8.8,20.4,0.587
8.66,19.7,0.578
8.52,19.7,0.568
8.38,19.1,0.559
8.24,18.5,0.549
8.1,17.9,0.54
7.96,17.2,0.531
7.81,17.2,0.521
7.67,16.6,0.512
7.53,16,0.502
7.39,15.4,0.493
7.25,14.7,0.484
7.11,14.1,0.474
6.97,14.1,0.465
6.83,13.5,0.455
6.69,12.8,0.446
6.55,12.2,0.437
6.41,11.6,0.427
6.27,11.6,0.418
6.13,11,0.409
5.99,10.3,0.399
5.84,9.7,0.39
5.7,9.1,0.38
5.56,8.5,0.371
5.42,7.8,0.361
5.28,7.2,0.352
5.14,6.6,0.343
5,6,0.333
4.86,5.3,0.324
4.72,4.7,0.315
4.58,4.1,0.305
4.44,3.4,0.296
4.3,2.8,0.286
4.16,2.2,0.277
4.02,1.6,0.268
3.87,0.9,0.258
3.73,0.3,0.249
3.59,-0.3,0.239
3.45,-0.9,0.23
3.31,-1.6,0.221
3.03,-2.8,0.202
3.03,-3.4,0.202
2.89,-4.1,0.192
2.75,-4.7,0.183
2.61,-5.3,0.174
2.47,-6,0.164
2.32,-6.6,0.155
2.18,-7.2,0.146
2.04,-7.8,0.136
1.9,-8.5,0.127
1.76,-9.1,0.117
1.62,-9.7,0.108
1.48,-10.3,0.099
1.34,-11,0.089
1.2,-11.6,0.08
1.06,-12.2,0.07
0.77,-13.5,0.052
0.77,-14.1,0.052
0.63,-14.7,0.042
0.49,-15.4,0.033
0.35,-16,0.023
0.21,-16.6,0.014
0.07,-17.2,0.005
-0.07,-17.9,-0.005
-0.21,-18.5,-0.014
-0.35,-19.1,-0.024
-0.49,-19.8,-0.033
-0.64,-19.8,-0.042
-0.78,-20.4,-0.052
-0.92,-21,-0.061
-1.06,-21.6,-0.07
-1.2,-22.3,-0.08
-1.34,-22.3,-0.089
-1.48,-22.9,-0.099
-1.62,-23.5,-0.108
-1.76,-24.1,-0.117
-1.9,-24.8,-0.127
-2.04,-25.4,-0.136
-2.19,-25.4,-0.146
-2.33,-26,-0.155
-2.47,-26.7,-0.164
-2.61,-27.3,-0.174
-2.75,-27.9,-0.183
-2.89,-28.5,-0.192
-3.03,-28.5,-0.202
-3.17,-29.2,-0.211
-3.31,-29.8,-0.221
-3.45,-30.4,-0.23
-3.59,-31,-0.239
-3.73,-31,-0.249
-3.88,-31.7,-0.258
-4.02,-32.3,-0.268
-4.16,-32.3,-0.277
-4.3,-32.9,-0.286
-4.44,-33.5,-0.296
-4.58,-34.2,-0.305
-4.72,-34.2,-0.315
-4.86,-34.8,-0.324
-5,-35.4,-0.333
-5.14,-35.4,-0.343
-5.28,-36,-0.352
-5.42,-36.7,-0.361
-5.56,-36.7,-0.371
-5.7,-37.3,-0.38
-5.85,-37.9,-0.39
-5.99,-37.9,-0.399
-6.13,-38.6,-0.409
-6.27,-39.2,-0.418
-6.41,-39.2,-0.427
-6.55,-39.8,-0.437
-6.69,-39.8,-0.446
-6.83,-40.4,-0.455
-6.97,-40.4,-0.465
-7.11,-41.1,-0.474
-7.25,-41.1,-0.484
-7.39,-41.7,-0.493
-7.53,-41.7,-0.502
-7.68,-42.3,-0.512
-7.82,-42.9,-0.521
-7.96,-43.6,-0.531
-8.1,-44.2,-0.54
-8.24,-44.8,-0.549
-8.38,-44.8,-0.559
-8.52,-45.5,-0.568
-8.66,-46.1,-0.578
-8.8,-46.7,-0.587
-8.94,-47.3,-0.596
-9.08,-47.3,-0.606
-9.23,-48,-0.615
-9.37,-48,-0.624
-9.51,-48.6,-0.634
-9.65,-49.2,-0.643
-9.79,-49.2,-0.653
-9.93,-49.8,-0.662
-10.07,-49.8,-0.671
-10.21,-50.5,-0.681
-10.35,-50.5,-0.69
-10.49,-51.1,-0.7
-10.64,-51.7,-0.709
-10.78,-51.7,-0.718
-10.92,-52.4,-0.728
-11.06,-53,-0.737
-11.2,-53.6,-0.747
-11.34,-54.2,-0.756
-11.48,-54.2,-0.765
-11.62,-54.9,-0.775
-11.76,-55.5,-0.784
-11.9,-56.1,-0.794
-12.04,-56.7,-0.803
-12.19,-57.4,-0.812
-12.33,-58,-0.822
-12.47,-58.6,-0.831
-12.61,-58.6,-0.84
-12.75,-59.3,-0.85
-12.89,-59.9,-0.859
-13.03,-60.5,-0.869
-13.17,-61.1,-0.878
-13.31,-61.8,-0.887
-13.45,-62.4,-0.897
-13.59,-63,-0.906
-13.74,-63.6,-0.916
-13.88,-64.3,-0.925
-14.02,-64.9,-0.934
-14.16,-65.5,-0.944
-14.3,-66.1,-0.953
-14.44,-66.8,-0.962
-14.58,-67.4,-0.972
-14.72,-68,-0.981
-14.86,-68.7,-0.991
-15,-69.3,-1
-15.14,-69.9,-1.009
-15.28,-70.5,-1.019
-15.42,-71.2,-1.028
-15.57,-71.8,-1.038
-15.71,-71.8,-1.047
-15.85,-72.4,-1.056
-15.99,-73,-1.066
-16.13,-73.7,-1.075
-16.27,-74.3,-1.085
-16.55,-75.5,-1.103
-16.55,-76.2,-1.103
-16.69,-76.8,-1.113
-16.83,-77.4,-1.122
-17.11,-78.7,-1.141
-17.11,-79.3,-1.141
-17.39,-80.6,-1.16
-17.25,-80.6,-1.15
-17.39,-76.8,-1.16
-17.25,-74.9,-1.15
-17.25,-72.4,-1.15
-17.11,-71.2,-1.141
-17.11,-69.3,-1.141
-16.97,-68.7,-1.131
-16.97,-68,-1.131
-16.83,-67.4,-1.122
-16.83,-66.8,-1.122
-16.69,-66.1,-1.113
-16.69,-64.9,-1.113
-16.55,-64.3,-1.103
-16.41,-63.6,-1.094
-16.13,-62.4,-1.075
-16.13,-61.8,-1.075
-15.99,-61.1,-1.066
-15.71,-59.9,-1.047
-15.71,-59.3,-1.047
-15.57,-58.6,-1.038
-15.42,-58,-1.028
-15.28,-57.4,-1.019
-15,-56.1,-1
-15,-55.5,-1
-14.86,-54.9,-0.991
-14.72,-54.2,-0.981
-14.58,-53.6,-0.972
-14.3,-52.4,-0.953
-14.3,-51.7,-0.953
-14.16,-51.1,-0.944
-14.02,-50.5,-0.934
-13.88,-49.8,-0.925
-13.74,-49.2,-0.916
-13.59,-48.6,-0.906
-13.45,-48,-0.897
-13.31,-47.3,-0.887
-13.17,-46.7,-0.878
-13.03,-46.1,-0.869
-12.89,-45.5,-0.859
-12.75,-44.8,-0.85
-12.61,-44.2,-0.84
-12.47,-43.6,-0.831
-12.33,-42.9,-0.822
-12.19,-42.3,-0.812
-12.04,-41.7,-0.803
-11.9,-41.1,-0.794
-11.76,-40.4,-0.784
-11.62,-39.8,-0.775
-11.48,-39.2,-0.765
-11.34,-38.6,-0.756
-11.2,-37.9,-0.747
-11.06,-37.3,-0.737
-10.92,-36.7,-0.728
-10.78,-36,-0.718
-10.64,-35.4,-0.709
-10.49,-34.8,-0.7
-10.35,-34.8,-0.69
-10.21,-34.2,-0.681
-10.07,-33.5,-0.671
-9.93,-32.9,-0.662
-9.79,-32.3,-0.653
-9.65,-32.3,-0.643
-9.51,-31.7,-0.634
-9.37,-31,-0.624
-9.23,-30.4,-0.615
-9.08,-30.4,-0.606
-8.94,-29.8,-0.596
-8.8,-29.2,-0.587
-8.66,-28.5,-0.578
-8.52,-27.9,-0.568
-8.38,-27.9,-0.559
-8.24,-27.3,-0.549
-8.1,-26.7,-0.54
-7.96,-26,-0.531
-7.82,-25.4,-0.521
-7.68,-25.4,-0.512
-7.53,-24.8,-0.502
-7.39,-24.1,-0.493
-7.25,-23.5,-0.484
-7.11,-23.5,-0.474
-6.97,-22.9,-0.465
-6.83,-22.3,-0.455
-6.69,-21.6,-0.446
-6.55,-21,-0.437
-6.41,-20.4,-0.427
-6.27,-20.4,-0.418
-5.99,-19.1,-0.399
-6.13,-19.1,-0.409
-5.99,-19.1,-0.399
-5.85,-18.5,-0.39
-5.7,-17.9,-0.38
-5.56,-17.2,-0.371
-5.42,-16.6,-0.361
-5.28,-16,-0.352
-5.14,-15.4,-0.343
-5,-14.7,-0.333
-4.86,-14.7,-0.324
-4.72,-14.1,-0.315
-4.58,-13.5,-0.305
-4.44,-12.9,-0.296
-4.3,-12.2,-0.286
-4.16,-11.6,-0.277
-4.02,-11,-0.268
-3.88,-10.3,-0.258
-3.73,-9.7,-0.249
-3.59,-9.1,-0.239
-3.45,-8.5,-0.23
-3.31,-7.8,-0.221
-3.17,-7.2,-0.211
-3.03,-6.6,-0.202
-2.89,-6,-0.192
-2.61,-4.7,-0.174
-2.61,-4.1,-0.174
-2.47,-3.4,-0.164
-2.33,-2.8,-0.155
-2.19,-2.2,-0.146
-2.04,-1.6,-0.136
-1.9,-0.9,-0.127
-1.76,-0.3,-0.117
NaN,NaN,NaN
-1.48,0.9,-0.099
-1.48,1.6,-0.099
-1.34,2.2,-0.089
-1.2,2.8,-0.08
-1.06,3.4,-0.07
-0.92,4.1,-0.061
-0.78,4.7,-0.052
-0.64,5.3,-0.042
-0.49,6,-0.033
-0.21,7.2,-0.014
-0.21,7.8,-0.014
-0.07,8.5,-0.005
0.07,7.8,0.005
0.07,6,0.005
0.07,7.2,0.005
0.21,7.8,0.014
0.21,9.1,0.014
0.35,9.7,0.023
0.35,10.3,0.023
0.49,11,0.033
0.77,12.2,0.052
0.77,12.8,0.052
0.92,13.5,0.061
1.06,14.1,0.07
1.2,14.7,0.08
1.34,15.4,0.089
1.48,16,0.099
1.62,16.6,0.108
1.76,16.6,0.117
2.04,17.9,0.136
1.9,17.9,0.127
2.04,17.9,0.136
2.18,18.5,0.146
2.32,19.1,0.155
2.47,19.7,0.164
2.61,20.4,0.174
2.75,20.4,0.183
2.89,21,0.192
3.03,21.6,0.202
3.17,21.6,0.211
3.31,22.3,0.221
3.45,22.9,0.23
3.59,23.5,0.239
3.73,23.5,0.249
3.87,24.1,0.258
4.02,24.8,0.268
4.16,25.4,0.277
4.3,25.4,0.286
4.44,26,0.296
4.58,26.6,0.305
4.72,27.3,0.315
4.86,27.9,0.324
5,27.9,0.333
5.14,28.5,0.343
5.28,29.2,0.352
5.42,29.8,0.361
5.56,29.8,0.371
5.7,30.4,0.38
5.84,31,0.39
5.99,31,0.399
6.13,31.7,0.409
6.27,32.3,0.418
6.41,32.3,0.427
6.55,32.9,0.437
6.69,32.9,0.446
6.83,33.5,0.455
6.97,34.2,0.465
7.11,34.2,0.474
7.25,34.8,0.484
7.39,35.4,0.493
7.53,35.4,0.502
7.67,36,0.512
7.81,36,0.521
7.96,36.7,0.531
8.1,36.7,0.54
8.24,37.3,0.549
8.38,37.9,0.559
8.52,37.9,0.568
8.66,37.9,0.578
8.8,38.5,0.587
8.94,39.2,0.596
9.08,39.2,0.606
9.22,39.2,0.615
9.36,39.8,0.624
9.51,39.8,0.634
9.65,40.4,0.643
9.79,40.4,0.652
9.93,41.1,0.662
10.07,41.1,0.671
10.21,41.1,0.681
10.35,41.7,0.69
10.49,41.7,0.7
10.63,42.3,0.709
10.77,42.3,0.718
10.92,42.9,0.728
11.06,43.6,0.737
11.2,44.2,0.746
11.34,44.2,0.756
11.48,44.8,0.765
11.62,45.4,0.775
11.76,46.1,0.784
11.9,46.7,0.794
12.04,47.3,0.803
12.18,48,0.812
12.32,48.6,0.822
12.47,49.2,0.831
12.61,49.8,0.84
12.75,50.5,0.85
12.89,51.1,0.859
13.03,51.7,0.869
13.17,52.3,0.878
13.31,53,0.887
13.45,53.6,0.897
13.59,54.2,0.906
13.73,54.9,0.916
13.87,55.5,0.925
14.02,56.1,0.934
14.16,56.7,0.944
14.3,57.4,0.953
14.58,58.6,0.972
14.44,58.6,0.962
14.58,58.6,0.972
14.72,59.2,0.981
14.86,59.9,0.991
15,60.5,1
15.28,61.8,1.019
15.14,61.8,1.009
15.28,61.8,1.019
15.42,62.4,1.028
15.56,63,1.038
15.71,63.6,1.047
15.99,64.9,1.066
15.99,65.5,1.066
16.13,66.1,1.075
16.27,66.8,1.085
16.41,67.4,1.094
16.55,68,1.103
16.83,69.3,1.122
16.83,69.9,1.122
16.97,70.5,1.131
17.25,71.8,1.15
17.25,72.4,1.15
17.39,73,1.16
17.68,74.3,1.179
17.68,74.9,1.179
17.96,76.2,1.197
17.96,76.8,1.197
18.1,77.4,1.207
18.24,78,1.216
18.38,78,1.225
18.52,78.7,1.235
18.66,79.3,1.244
18.8,79.3,1.253
18.94,79.9,1.263
19.08,79.9,1.272
19.22,80.6,1.282
19.36,81.2,1.291
19.51,81.2,1.3
19.65,81.2,1.31
19.79,81.8,1.319
19.93,81.8,1.329
20.07,81.2,1.338
20.07,79.9,1.338
19.93,78.7,1.329
19.93,76.8,1.329
19.79,74.9,1.319
19.79,73.7,1.319
19.65,72.4,1.31
19.65,71.2,1.31
19.51,69.9,1.3
19.51,68.7,1.3
19.36,68,1.291
19.36,66.8,1.291
19.22,66.1,1.282
19.22,64.9,1.282
19.08,64.3,1.272
19.08,63,1.272
18.94,62.4,1.263
18.94,61.8,1.263
18.8,60.5,1.253
18.8,59.9,1.253
18.66,59.2,1.244
18.52,58.6,1.235
18.52,58,1.235
18.24,56.7,1.216
18.24,56.1,1.216
18.1,55.5,1.207
18.1,54.9,1.207
17.82,53.6,1.188
17.82,53,1.188
17.68,52.3,1.179
17.53,51.7,1.169
17.39,51.1,1.16
17.39,50.5,1.16
17.25,49.8,1.15
16.97,48.6,1.131
16.97,48,1.131
16.83,47.3,1.122
16.69,46.7,1.113
16.41,45.4,1.094
16.41,44.8,1.094
16.27,44.2,1.085
16.13,43.6,1.075
15.99,42.9,1.066
15.85,42.3,1.056
15.71,41.7,1.047
15.56,41.1,1.038
15.42,40.4,1.028
15.28,39.8,1.019
15.14,39.2,1.009
15,38.5,1
14.86,37.9,0.991
14.72,37.9,0.981
14.58,37.3,0.972
14.44,36.7,0.962
14.3,36,0.953
14.16,35.4,0.944
14.02,34.8,0.934
13.87,34.8,0.925
13.59,33.5,0.906
13.73,33.5,0.916
13.59,33.5,0.906
13.45,32.9,0.897
13.31,32.3,0.887
13.17,31.7,0.878
13.03,31,0.869
12.89,30.4,0.859
12.75,29.8,0.85
12.61,29.8,0.84
12.47,29.2,0.831
12.32,28.5,0.822
12.18,27.9,0.812
12.04,27.3,0.803
11.9,26.6,0.794
11.76,26.6,0.784
11.62,26,0.775
11.48,25.4,0.765
11.34,25.4,0.756
11.2,24.8,0.746
11.06,24.8,0.737
10.92,24.1,0.728
10.77,23.5,0.718
10.63,23.5,0.709
10.49,22.9,0.7
10.35,22.3,0.69
10.21,22.3,0.681
10.07,21.6,0.671
9.93,21,0.662
9.79,21,0.652
9.65,20.4,0.643
9.51,19.7,0.634
9.36,19.7,0.624
9.22,19.1,0.615
9.08,18.5,0.606
8.94,18.5,0.596
8.8,17.9,0.587
8.66,17.2,0.578
8.52,16.6,0.568
8.38,16.6,0.559
8.24,16,0.549
8.1,15.4,0.54
7.96,14.7,0.531
7.81,14.7,0.521
7.67,14.1,0.512
7.53,13.5,0.502
7.39,12.8,0.493
7.25,12.2,0.484
7.11,12.2,0.474
6.97,11.6,0.465
6.83,11,0.455
6.69,10.3,0.446
6.55,9.7,0.437
6.41,9.1,0.427
6.27,9.1,0.418
5.99,7.8,0.399
6.13,7.8,0.409
5.99,7.8,0.399
5.84,7.2,0.39
5.7,6.6,0.38
5.56,6,0.371
5.42,5.3,0.361
5.28,4.7,0.352
5.14,4.1,0.343
5,3.4,0.333
4.86,2.8,0.324
4.72,2.2,0.315
4.58,1.6,0.305
4.44,0.9,0.296
4.3,0.3,0.286
4.16,-0.3,0.277
4.02,-0.9,0.268
3.87,-1.6,0.258
3.73,-2.2,0.249
3.59,-2.8,0.239
3.45,-3.4,0.23
3.31,-4.1,0.221
3.17,-4.7,0.211
3.03,-5.3,0.202
2.89,-6,0.192
2.75,-6.6,0.183
2.61,-7.2,0.174
2.47,-7.8,0.164
2.32,-8.5,0.155
2.18,-9.1,0.146
2.04,-9.7,0.136
1.9,-10.3,0.127
1.76,-11,0.117
1.62,-11.6,0.108
1.48,-12.2,0.099
1.34,-12.9,0.089
1.2,-13.5,0.08
1.06,-14.1,0.07
0.92,-14.7,0.061
0.77,-15.4,0.052
0.63,-16,0.042
0.49,-16.6,0.033
0.35,-17.2,0.023
0.21,-17.9,0.014
0.07,-18.5,0.005
-0.07,-19.1,-0.005
-0.21,-19.8,-0.014
-0.35,-20.4,-0.024
-0.49,-20.4,-0.033
-0.64,-21,-0.042
-0.78,-21.6,-0.052
-0.92,-22.3,-0.061
-1.06,-22.3,-0.07
-1.2,-22.9,-0.08
-1.34,-23.5,-0.089
-1.48,-24.1,-0.099
-1.62,-24.1,-0.108
-1.76,-24.8,-0.117
-1.9,-25.4,-0.127
-2.04,-26,-0.136
-2.19,-26.7,-0.146
-2.33,-26.7,-0.155
-2.47,-27.3,-0.164
-2.61,-27.9,-0.174
-2.75,-27.9,-0.183
-3.03,-29.2,-0.202
-2.89,-29.2,-0.192
-3.03,-29.2,-0.202
-3.17,-29.8,-0.211
