Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-4.33,-33.6,-0.167
-4.18,-30.7,-0.161
-4.02,-28.5,-0.155
-3.89,-25.8,-0.15
-3.62,-23.1,-0.139
-3.39,-20.1,-0.131
-3.11,-17.1,-0.119
-2.97,-14.8,-0.114
-2.7,-12.2,-0.104
-2.7,-11.9,-0.104
-2.61,-10.9,-0.101
-2.44,-9,-0.094
-2.2,-6.6,-0.085
-1.86,-3.3,-0.072
-1.68,-1.6,-0.065
-1.65,-0.8,-0.063
-1.59,-0.4,-0.061
-1.49,0.5,-0.057
-1.34,2,-0.052
-1.14,4.5,-0.044
-0.78,7.4,-0.03
-0.71,8.9,-0.027
-0.46,11.1,-0.018
-0.2,12.9,-0.008
-0.05,14.6,-0.002
0.5,19.7,0.019
0.63,21.5,0.024
0.88,23.5,0.034
1.11,24.9,0.043
1.37,27.6,0.053
1.64,29.9,0.063
1.95,32.5,0.075
2.21,34.8,0.085
2.45,37,0.094
2.58,37.9,0.099
3.06,41.6,0.118
3.2,42.7,0.123
3.45,44.5,0.133
3.63,45.7,0.14
3.79,46.7,0.146
3.96,47.5,0.152
4.19,48.8,0.161
4.39,50.1,0.169
4.55,50.6,0.175
4.74,48.3,0.182
4.61,44.9,0.177
4.55,43.1,0.175
4.39,41.1,0.169
4.33,39.4,0.166
4.15,37.4,0.16
3.99,35.6,0.153
3.77,33.4,0.145
3.6,31.2,0.139
3.51,29.9,0.135
3.36,28.8,0.129
3.25,26.7,0.125
3.09,24.7,0.119
2.76,21.7,0.106
2.6,19.7,0.1
2.35,17.5,0.09
2.23,15.6,0.086
1.92,13.1,0.074
1.74,11.3,0.067
