Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0360935000000000;-48.3701;-2.88748
-0.0360810000000000;-48.3701;-2.88648
-0.0360685000000000;-48.3701;-2.88548
-0.0360560000000000;-48.3702;-2.88448
-0.0360435000000000;-48.3702;-2.88348
-0.0360310000000000;-48.3702;-2.88248
-0.0360185000000000;-48.3702;-2.88148
-0.0360060000000000;-48.3703;-2.88048
-0.0359935000000000;-48.3703;-2.87948
-0.0359810000000000;-48.3703;-2.87848
-0.0359685000000000;-48.3704;-2.87748
-0.0359560000000000;-48.3704;-2.87648
-0.0359435000000000;-48.3704;-2.87548
-0.0359310000000000;-48.3705;-2.87448
-0.0359185000000000;-48.3705;-2.87348
-0.0359060000000000;-48.3705;-2.87248
-0.0358935000000000;-48.3706;-2.87148
-0.0358810000000000;-48.3706;-2.87048
-0.0358685000000000;-48.3706;-2.86948
-0.0358560000000000;-48.3707;-2.86848
-0.0358435000000000;-48.3707;-2.86748
-0.0358310000000000;-48.3707;-2.86648
-0.0358185000000000;-48.3708;-2.86548
-0.0358060000000000;-48.3708;-2.86448
-0.0357935000000000;-48.3708;-2.86348
-0.0357810000000000;-48.3709;-2.86248
-0.0357685000000000;-48.3709;-2.86148
-0.0357560000000000;-48.3709;-2.86048
-0.0357435000000000;-48.371;-2.85948
-0.0357310000000000;-48.371;-2.85848
-0.0357185000000000;-48.371;-2.85748
-0.0357060000000000;-48.371;-2.85648
-0.0356935000000000;-48.3711;-2.85548
-0.0356810000000000;-48.3801;-2.85448
-0.0356685000000000;-48.4111;-2.85348
-0.0356560000000000;-48.442;-2.85248
-0.0356435000000000;-48.4729;-2.85148
-0.0356310000000000;-48.5038;-2.85048
-0.0356185000000000;-48.5348;-2.84948
-0.0356060000000000;-48.5657;-2.84848
-0.0355935000000000;-48.5966;-2.84748
-0.0355810000000000;-48.6276;-2.84648
-0.0355685000000000;-48.6585;-2.84548
-0.0355560000000000;-48.6894;-2.84448
-0.0355435000000000;-48.7203;-2.84348
-0.0355310000000000;-48.7513;-2.84248
-0.0355185000000000;-48.7822;-2.84148
