Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0159313750000000;-38.0962;-1.27451
-0.0159188750000000;-38.1117;-1.27351
-0.0159063750000000;-38.1271;-1.27251
-0.0158938750000000;-38.1425;-1.27151
-0.0158813750000000;-38.1579;-1.27051
-0.0158688750000000;-38.1734;-1.26951
-0.0158563750000000;-38.1888;-1.26851
-0.0158438750000000;-38.2042;-1.26751
-0.0158313750000000;-38.2197;-1.26651
-0.0158188750000000;-38.2351;-1.26551
-0.0158063750000000;-38.2505;-1.26451
-0.0157938750000000;-38.266;-1.26351
-0.0157813750000000;-38.2814;-1.26251
-0.0157688750000000;-38.2968;-1.26151
-0.0157563750000000;-38.3123;-1.26051
-0.0157438750000000;-38.3277;-1.25951
-0.0157313750000000;-38.3431;-1.25851
-0.0157188750000000;-38.3586;-1.25751
-0.0157063750000000;-38.374;-1.25651
-0.0156938750000000;-38.3894;-1.25551
-0.0156813750000000;-38.4048;-1.25451
-0.0156688750000000;-38.4203;-1.25351
-0.0156563750000000;-38.4357;-1.25251
-0.0156438750000000;-38.4511;-1.25151
-0.0156313750000000;-38.4666;-1.25051
-0.0156188750000000;-38.482;-1.24951
-0.0156063750000000;-38.4974;-1.24851
-0.0155938750000000;-38.5129;-1.24751
-0.0155813750000000;-38.5283;-1.24651
-0.0155688750000000;-38.5437;-1.24551
-0.0155563750000000;-38.5592;-1.24451
-0.0155438750000000;-38.5746;-1.24351
-0.0155313750000000;-38.59;-1.24251
-0.0155188750000000;-38.6279;-1.24151
-0.0155063750000000;-38.6742;-1.24051
-0.0154938750000000;-38.7204;-1.23951
-0.0154813750000000;-38.7667;-1.23851
-0.0154688750000000;-38.813;-1.23751
-0.0154563750000000;-38.8593;-1.23651
-0.0154438750000000;-38.9056;-1.23551
-0.0154313750000000;-38.9519;-1.23451
-0.0154188750000000;-38.9982;-1.23351
-0.0154063750000000;-39.0445;-1.23251
-0.0153938750000000;-39.0908;-1.23151
-0.0153813750000000;-39.1371;-1.23051
-0.0153688750000000;-39.1834;-1.22951
-0.0153563750000000;-39.2297;-1.22851
-0.0153438750000000;-39.276;-1.22751
-0.0153313750000000;-39.3223;-1.22651
-0.0153188750000000;-39.3686;-1.22551
-0.0153063750000000;-39.4149;-1.22451
-0.0152938750000000;-39.4612;-1.22351
-0.0152813750000000;-39.5074;-1.22251
-0.0152688750000000;-39.5537;-1.22151
-0.0152563750000000;-39.6;-1.22051
-0.0152438750000000;-39.6463;-1.21951
-0.0152313750000000;-39.6926;-1.21851
